Game ID,Move Number,Player Name,Player Type,Player Symbol,Board Position
0,1,Darius,Human,X,"(2, 2)"
0,2,Bob,Bot,O,"(2, 2)"
0,3,Darius,Human,X,"(0, 2)"
0,4,Bob,Bot,O,"(0, 2)"
0,5,Darius,Human,X,"(2, 0)"
0,6,Bob,Bot,O,"(2, 0)"
0,7,Darius,Human,X,"(2, 1)"
1,1,Darius,Human,X,"(2, 0)"
1,2,Bob,Bot,O,"(2, 0)"
1,3,Darius,Human,X,"(0, 2)"
1,4,Bob,Bot,O,"(0, 2)"
1,5,Darius,Human,X,"(2, 2)"
1,6,Bob,Bot,O,"(2, 2)"
1,7,Darius,Human,X,"(1, 2)"
