Timestamp,Player 1 Name,Player 1 Symbol,Player 1 Type,Player 2 Name,Player 2 Symbol,Player 2 Type,Winner,Move Count
2023-01-01 13:47:29.247347,Darius,X,Human,Bob,O,Bot,X,7
2023-01-01 13:48:16.282372,Darius,X,Human,Bob,O,Bot,X,7
